hotel_name,hotel_adress,raiting_stars,url
The First Collection at Jumeirah Village Circle,"JVC - Jumeirah Village - Dubai, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/the-first-collection-jumeirah-village-dubai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538085&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Golden Sands-Dubai Creek,"Banyas Street, Dubai, United Arab Emirates",5,https://www.booking.com/hotel/ae/golden-sands-hotel-dubai-creek.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538085&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Ink Hotel,"Jaddaf Waterfront Dubai 20, Bur Dubai, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/ink.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538085&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
"Zabeel House by Jumeirah, The Greens","Sheikh Zayed Road, The Greens, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/zabeel-house-the-greens-by-jumeirah.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538085&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Grand Millennium Business Bay,"Al Abraj Street P.O.Box 98678, Dubai, United Arab Emirates",5,https://www.booking.com/hotel/ae/grand-millennium-business-bay-dubai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538097&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
New Aparthotel Prive,"DAMAC Prive Unit 2604 Tower B, Dubai, United Arab Emirates",5,https://www.booking.com/hotel/ae/new-aparthotel-prive.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=62&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538102&map_fdco=1&from=searchresults#hotelTmpl
"Atlantis, The Palm","Palm Jumeirah, Palm Jumeirah, Dubai, United Arab Emirates",5,https://www.booking.com/hotel/ae/atlantis-the-palm.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=89&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538108&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Five Jumeirah Village,"Jumeirah Village Circle Dubai, Dubai, United Arab Emirates",5,https://www.booking.com/hotel/ae/five-jumeirah-village.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=120&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538114&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Two Seasons Hotel & Apartments,"Sheikh Zayed Road, Dubai Internet City, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/gloria.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=146&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538120&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
"Millennium Plaza Downtown, Dubai","Sheikh Zayed Road, Trade Centre, Dubai, United Arab Emirates",5,https://www.booking.com/hotel/ae/millennium-plaza-downtown.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=150&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538120&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
